기온분석,,,
[검색조건],,,
날짜,평균기온(℃),최저기온(℃),최고기온(℃)
2020.5.27,17.4,11.8,23.9
2020.5.28,18.7,14.2,23.4
2020.5.29,20.7,14.6,27.6
2020.5.30,22.6,16.5,30
2020.5.31,21.2,17.6,28
2020.6.1,19.7,16.6,24.5
2020.6.2,17.9,14.8,21.8
2020.6.3,22,17.6,28.4
2020.6.4,21.9,19.7,26.5
2020.6.5,23,18.4,28.7
2020.6.6,24.6,19.2,30.9
2020.6.7,22.7,19.2,29.2
2020.6.8,25,19.8,32
2020.6.9,26.7,20.3,32.8
2020.6.10,25.8,22.5,32.1
2020.6.11,26.1,21.7,31.6
2020.6.12,24.7,21.6,27.6
2020.6.13,26.9,20.6,33.5
2020.6.14,24,20.1,28.8
2020.6.15,23,18.2,28.6
2020.6.16,24.4,20,30.7
2020.6.17,24.3,20.2,30.3
2020.6.18,23.4,20.3,27.3
2020.6.19,24.7,21.1,30
2020.6.20,24.9,20.7,29.7
2020.6.21,26.1,19.5,32.7
2020.6.22,28.6,21.7,35.4
2020.6.23,27.3,23.2,31
2020.6.24,22.3,19.9,26.3
2020.6.25,21.6,20.1,23.4
2020.6.26,21.8,19.2,25.7
2020.6.27,24.1,20.4,29.6
2020.6.28,25.2,21.5,30.1
2020.6.29,23.8,20.6,26.5
2020.6.30,20.1,18.4,23.1
2020.7.1,21.1,18.1,24.3
2020.7.2,24.2,20.4,29.8
2020.7.3,25.5,21.6,30.6
2020.7.4,24.2,20.4,29.5
2020.7.5,23.8,19.9,27.6
2020.7.6,25.6,21.8,30.9
2020.7.7,24.1,22.1,28.1
2020.7.8,25.5,21.3,30.4
2020.7.9,27.5,21.8,32.9
2020.7.10,24.5,22.7,27.7
2020.7.11,25.8,22.2,30.2
2020.7.12,23.5,21.7,26
2020.7.13,18.7,17.7,21.7
2020.7.14,20.3,17.2,24.3
2020.7.15,23.4,18.9,28.7
2020.7.16,25,20.4,29.7
2020.7.17,26,21.5,31.6
2020.7.18,26.1,22.8,31
2020.7.19,24,20.6,26.6
2020.7.20,23.8,22.4,26.6
2020.7.21,25,21.4,30.5
2020.7.22,23.7,22.6,25.7
2020.7.23,21.1,18.5,22.6
2020.7.24,22.5,18.7,26.8
2020.7.25,24.3,22.3,29
2020.7.26,25.4,21.6,29.6
2020.7.27,24.3,22.9,25.5
2020.7.28,24.4,22.7,26.4
2020.7.29,23.7,22.6,24.9
2020.7.30,25.3,23.4,28.4
2020.7.31,26.2,22.8,29.6
2020.8.1,25.3,24.3,26.9
2020.8.2,24.9,23.5,26.4
2020.8.3,25,23.9,26.3
2020.8.4,27,25,29.4
2020.8.5,26.5,25.5,29.1
2020.8.6,24.1,22.9,26
2020.8.7,24.3,22.6,26.1
2020.8.8,24.2,22.7,26.1
2020.8.9,24.9,23.7,25.8
2020.8.10,26.5,24.7,29.5
2020.8.11,24.6,22.4,27.3
2020.8.12,27.2,23.5,31.3
2020.8.13,28,26.3,30.3
2020.8.14,27.1,26.5,28
2020.8.15,26.1,25,27
2020.8.16,27.4,25.3,30.8
2020.8.17,28.2,26.1,32.2
2020.8.18,27.5,24,31.9
2020.8.19,27.1,23.6,31.4
2020.8.20,27.7,25,31.7
2020.8.21,26.6,25.2,29.2
2020.8.22,24.3,21.7,27.6
2020.8.23,25.3,21.5,29.9
2020.8.24,27.8,23.7,32
2020.8.25,29.9,26,34.5
2020.8.26,30.2,27,34.5
2020.8.27,27.1,25.6,28.6
2020.8.28,27.3,26,29.7
2020.8.29,26.8,25.5,29
2020.8.30,26.8,24.4,30.6
2020.8.31,26.4,23.8,30
2020.9.1,26.6,23.8,29.5
2020.9.2,24.3,22.6,26.4
2020.9.3,22.7,20,25.6
2020.9.4,23.3,19.9,27.5
2020.9.5,23.3,19.2,27.3
2020.9.6,21.7,19.5,24.4
2020.9.7,19.2,17.5,20.6
2020.9.8,23.4,20.6,26.5
2020.9.9,21.1,19,25.3
2020.9.10,22.8,18.8,27
2020.9.11,22.4,19.2,27.1
2020.9.12,20.2,18.1,23.2
2020.9.13,21.5,16.7,26.6
2020.9.14,21.3,17.6,24.9
2020.9.15,23,18.9,27.7
2020.9.16,22.5,21.3,24.9
2020.9.17,21.3,20.1,23.6
2020.9.18,21.5,18.1,25.8
2020.9.19,21.2,17.6,26.2
2020.9.20,19.7,15.6,24.9
2020.9.21,19.1,13.6,25.3
2020.9.22,20.2,15.5,25.6
2020.9.23,19.2,15.2,23.8
2020.9.24,20.6,16.8,25.4
2020.9.25,20.1,16.6,25.4
2020.9.26,19.3,14.8,24.8
2020.9.27,20.4,14.9,25.8
2020.9.28,20.7,15.7,26.5
2020.9.29,19.6,15.3,23.9
2020.9.30,19.6,16.2,25.7
2020.10.1,18.8,15.6,23.6
2020.10.2,19.2,16.3,21.9
2020.10.3,19.9,18.3,23.2
2020.10.4,16.6,10.6,21.8
2020.10.5,13.3,8.5,18.4
2020.10.6,14.2,9.3,19.7
2020.10.7,16,9.9,22
2020.10.8,17.2,12.1,23.1
2020.10.9,17.2,12.4,23.3
2020.10.10,16.9,12.3,21.5
2020.10.11,16.9,12.7,20.8
2020.10.12,16.2,12.1,21.3
2020.10.13,13.6,8.6,18.4
2020.10.14,12.8,8.5,18
2020.10.15,11.7,6.5,18.5
2020.10.16,11.8,8.6,15.4
2020.10.17,13.1,8.7,18.6
2020.10.18,13.6,7.2,20.2
2020.10.19,15.1,9.8,21.3
2020.10.20,15.2,9.9,21.7
2020.10.21,14.1,11.8,17.3
2020.10.22,13.5,8.4,18.2
2020.10.23,8.6,5.4,13.3
2020.10.24,8.7,3.2,14
2020.10.25,11.8,5.4,18.2
2020.10.26,12.9,8,19
2020.10.27,14,9,19.4
2020.10.28,13.8,8.6,18.2
2020.10.29,10.8,5.5,16.1
2020.10.30,11.9,5.8,19.6
2020.10.31,13.6,8.5,18.2
2020.11.1,13.7,11.6,15
2020.11.2,10.8,7.9,15.6
2020.11.3,5.1,2.7,8.6
2020.11.4,4.9,0.2,10.8
2020.11.5,9.6,3.4,15.9
2020.11.6,13.5,9.9,17.2
2020.11.7,14.6,12.2,18.1
2020.11.8,8.5,3.1,12.4
2020.11.9,5.5,0.7,8.9
2020.11.10,7.7,3.5,12.9
2020.11.11,9.3,3.5,16.5
2020.11.12,10.4,4.6,17.7
2020.11.13,12.2,8.5,17.6
2020.11.14,12.5,6.8,19.3
2020.11.15,11.1,8.2,14.9
2020.11.16,12.4,7.5,18.3
2020.11.17,15.9,11.7,20
2020.11.18,16.6,14.8,18.7
2020.11.19,13.6,6.9,19.1
2020.11.20,2.8,0.3,7
2020.11.21,6.5,-0.3,12.8
2020.11.22,5.6,1.5,9.1
2020.11.23,1.7,-1.5,5.9
2020.11.24,2.9,0.2,6.4
2020.11.25,4.6,0,9.5
2020.11.26,5.6,1.9,10.9
2020.11.27,4.1,0.6,7.7
2020.11.28,-0.1,-2.3,2.8
2020.11.29,-0.6,-3.6,2.6
2020.11.30,-0.2,-3.6,4.3
2020.12.1,1.1,-3.6,6.7
2020.12.2,2.4,0.5,6.1
2020.12.3,0.7,-2.3,4.2
2020.12.4,-0.6,-4.6,4.4
2020.12.5,2.1,-2.2,6.6
2020.12.6,4.5,1.2,9.1
2020.12.7,3.4,-0.7,6.3
2020.12.8,-0.5,-3.5,4.1
2020.12.9,1.5,-4.1,6.2
2020.12.10,5.8,3.2,9.3
2020.12.11,5.3,2.6,9.4
2020.12.12,2.3,-0.3,6.1
2020.12.13,-1.1,-6,2
2020.12.14,-7.7,-9.7,-5
2020.12.15,-8.3,-11.1,-4.6
2020.12.16,-8.3,-11.2,-3.9
2020.12.17,-4.9,-11.1,0.8
2020.12.18,-2.1,-6.4,1.8
2020.12.19,-5.1,-9.6,-1.2
2020.12.20,-3.7,-8.2,1.1
2020.12.21,-1,-6,4.7
2020.12.22,2,-2.5,7.2
2020.12.23,4.5,-0.4,8.5
2020.12.24,2.6,-2,6.1
2020.12.25,-0.8,-4.7,3.5
2020.12.26,2.2,-2.1,8
2020.12.27,5.8,1.4,10
2020.12.28,6.7,4.2,11.4
2020.12.29,0.1,-6.2,4.3
2020.12.30,-10.9,-12.9,-6.2
2020.12.31,-8.9,-12.9,-5
2021.1.1,-4.2,-9.8,1.6
2021.1.2,-5,-8.4,-1.4
2021.1.3,-5.6,-9.1,-2
2021.1.4,-3.5,-8.4,0.3
2021.1.5,-5.5,-9.9,-2.1
2021.1.6,-7.4,-12,-1.9
2021.1.7,-14.5,-16.5,-8.4
2021.1.8,-14.9,-18.6,-10.7
2021.1.9,-12.2,-16.6,-7.5
2021.1.10,-7.7,-12.8,-2.7
2021.1.11,-6.7,-9.6,-4
2021.1.12,-3.9,-9.3,-0.5
2021.1.13,2,-3,8.3
2021.1.14,1.7,-3.6,7
2021.1.15,4.5,-0.7,9.9
2021.1.16,-4.9,-8.7,-0.7
2021.1.17,-5.5,-10.8,-1.3
2021.1.18,-3.8,-9.1,0.2
2021.1.19,-6.3,-11.6,-0.2
2021.1.20,-0.1,-6.6,7.1
2021.1.21,4.5,2.5,7
2021.1.22,5.5,4.8,6.6
2021.1.23,7.6,4.8,12.2
2021.1.24,7.3,2.4,13.9
2021.1.25,7.9,3,13.9
2021.1.26,5.3,1.7,7.4
2021.1.27,1.7,-1.8,6.5
2021.1.28,-2.6,-9.7,1.4
2021.1.29,-8.8,-11.6,-4.9
2021.1.30,-1.6,-8.1,5.2
2021.1.31,3.2,-3.8,8.7
2021.2.1,5,-2.3,9.5
2021.2.2,-5.6,-8.2,-2.4
2021.2.3,-3.2,-9.4,1.4
2021.2.4,-3.6,-7.4,0.7
2021.2.5,1.4,-4.4,6.7
2021.2.6,6.8,4.3,9.5
2021.2.7,3.6,-2.6,7.7
2021.2.8,-3.1,-5.4,0.2
2021.2.9,-0.9,-6.1,4.7
2021.2.10,3.4,-1.5,7.2
2021.2.11,5.5,1.3,10.9
2021.2.12,6.5,0.6,14
2021.2.13,7.6,1,15.9
2021.2.14,9.5,6.4,13.8
2021.2.15,1.2,-5.2,8.2
2021.2.16,-5.1,-7,-1.3
2021.2.17,-8.3,-10.4,-5.2
2021.2.18,-5.8,-10.6,-0.4
2021.2.19,1.6,-7.1,8.9
2021.2.20,8.8,5.5,14.9
2021.2.21,10.8,4.7,17.4
2021.2.22,7.8,0.4,12.6
2021.2.23,0,-3.1,4.3
2021.2.24,2.9,-3,10.1
2021.2.25,4.2,0.7,8.2
2021.2.26,8.2,0.5,15.8
2021.2.27,9.5,4.3,16.2
2021.2.28,7.8,3.2,10.8
2021.3.1,4.7,0.5,9
2021.3.2,2.3,0.2,6.9
2021.3.3,4.4,-1.2,9.9
2021.3.4,7.2,2.5,13
2021.3.5,9,3,16.2
2021.3.6,6.6,3.2,11.6
2021.3.7,6.2,2.1,12.2
2021.3.8,7,1.5,13.9
2021.3.9,6.6,2.1,12.2
2021.3.10,8.8,1.7,17.1
2021.3.11,10.2,4.7,17.1
2021.3.12,10.5,7.2,14.9
2021.3.13,9.2,4.6,14.2
2021.3.14,9.1,4.9,14.7
2021.3.15,10.6,5.1,15.7
2021.3.16,8.4,4.9,13.1
2021.3.17,8.8,1.8,17.5
2021.3.18,11.7,5,18.4
2021.3.19,15.3,11.4,20.2
2021.3.20,9.9,7.4,14.7
2021.3.21,5.8,3.1,8.6
2021.3.22,6.2,1.1,11.1
2021.3.23,9.1,2.5,16.4
2021.3.24,10.8,5.7,16.9
2021.3.25,11.9,6.8,19
2021.3.26,12.6,4.8,20.6
2021.3.27,12.1,10.2,15
2021.3.28,9,7.7,13
2021.3.29,10.2,7.3,14.6
2021.3.30,10.8,4.1,18.2
2021.3.31,14.5,5.9,22.9
2021.4.1,17.7,12,24
2021.4.2,17.8,12.5,23
2021.4.3,14.9,10.9,18
2021.4.4,11.9,9,15.8
2021.4.5,11.9,5.4,19.3
2021.4.6,13.9,9.4,19.2
2021.4.7,14.1,8.1,20.4
2021.4.8,13,7.2,18
2021.4.9,13.6,7.6,19.6
2021.4.10,12.6,7.7,18.8
2021.4.11,15,7.5,21.8
2021.4.12,13.8,11.9,17.8
2021.4.13,10.4,5.7,13.5
2021.4.14,8.4,3.1,13.3
2021.4.15,11.6,6.3,18.3
2021.4.16,11.3,8.1,14.8
2021.4.17,9.6,6,14.6
2021.4.18,9.9,5.6,15.3
2021.4.19,12.2,5.8,19.4
2021.4.20,14.8,8.1,22
2021.4.21,19.1,10.3,28.2
2021.4.22,20.9,16.1,27.5
2021.4.23,19,17,21.7
2021.4.24,18.3,15.3,22.2
2021.4.25,18.2,12.6,24
2021.4.26,16.2,12.3,20.6
2021.4.27,15.4,12.5,20
2021.4.28,14.5,11.2,18.2
2021.4.29,14.6,10.9,20.1
2021.4.30,11.3,8.6,14.6
2021.5.1,10.2,8.5,15.3
2021.5.2,12.4,7.3,18.7
2021.5.3,14.1,8.4,20.3
2021.5.4,13.8,11.4,15.8
2021.5.5,13.9,10.3,18.4
2021.5.6,15.7,7.9,23.1
2021.5.7,14.4,10.7,17.2
2021.5.8,14.3,8.9,21
2021.5.9,15.7,10,21.8
2021.5.10,13.2,11.7,14.6
2021.5.11,18.5,9.4,25.7
2021.5.12,22,16.9,27.7
2021.5.13,22.9,16.6,29.6
2021.5.14,24.1,18,30.8
2021.5.15,22.1,20.8,26.2
2021.5.16,18.4,14.8,20.8
2021.5.17,15.3,14.2,16.7
2021.5.18,17.9,13.6,24.5
2021.5.19,19.9,12.4,26.6
2021.5.20,18.7,15.6,22.9
2021.5.21,16,14.2,18.2
2021.5.22,18.6,13.8,23.8
2021.5.23,19.5,14.3,25.1
2021.5.24,19.4,16.4,24.5
2021.5.25,15.3,11.9,19.3
2021.5.26,18,11.5,23
2021.5.27,15.8,13.9,18.7
2021.5.28,15.3,12.4,19.7
2021.5.29,15.4,12.8,19.1
2021.5.30,18.4,10.8,26.3
2021.5.31,19.9,16.5,23.8
2021.6.1,20.2,15.9,23.9
2021.6.2,23.2,16.6,29.7
2021.6.3,19.1,14.6,22.7
2021.6.4,18.5,13.3,23.6
2021.6.5,20.8,17,25.7
2021.6.6,23,18.4,28.2
2021.6.7,21.1,19.4,24
2021.6.8,23.6,18.8,29.5
2021.6.9,25.8,19.5,31.6
2021.6.10,24.9,20.5,29.8
2021.6.11,21.5,19.9,24.4
2021.6.12,24.2,18.2,30.2
2021.6.13,24.8,20.9,29.7
2021.6.14,24.8,18.9,30.2
2021.6.15,22.5,21.5,25.3
2021.6.16,24.3,20.3,28.9
2021.6.17,21.9,19.6,25
2021.6.18,20,19,21.4
2021.6.19,22.3,17.5,27.4
2021.6.20,22.9,17.6,29
2021.6.21,23.6,19.2,28.5
2021.6.22,22.8,19.7,28.6
2021.6.23,22.4,18.8,27.9
2021.6.24,23,18.5,28
2021.6.25,24.1,19.5,29.5
2021.6.26,22.8,19.9,26.7
2021.6.27,24.5,19.8,30.8
2021.6.28,23.7,21,29.2
2021.6.29,23.9,21.3,28.4
2021.6.30,24.3,21,28.8
2021.7.1,26.3,21.4,31
2021.7.2,27.1,23.6,31.8
2021.7.3,22.6,19.6,25.7
2021.7.4,21.4,19.8,23.1
2021.7.5,23.3,20.1,26.9
2021.7.6,25.3,21,30.1
2021.7.7,26.4,23.9,29.1
2021.7.8,26,23.8,29.8
2021.7.9,25.5,23.6,29.2
2021.7.10,25.9,23.1,29.2
2021.7.11,25.7,24.1,27.5
2021.7.12,28.1,23.8,32.5
2021.7.13,28.8,26.3,31.5
2021.7.14,29.7,26.1,33.5
2021.7.15,29.1,25.9,34.5
2021.7.16,28.8,24.2,35.2
2021.7.17,29.1,24.7,32.8
2021.7.18,29.6,25.7,34.1
2021.7.19,26.4,24,30.5
2021.7.20,27.9,23.6,31.8
2021.7.21,30.5,25.3,35.3
2021.7.22,31.2,26.5,35.9
2021.7.23,31.2,27.2,35.8
2021.7.24,31.7,26.9,36.5
2021.7.25,31.5,27.2,35.9
2021.7.26,31.2,27.4,35.4
2021.7.27,31.1,27.8,35.7
2021.7.28,30.4,27.1,34.7
2021.7.29,29.6,27,33.3
2021.7.30,30.5,25.8,35.4
2021.7.31,29.8,26.8,34.3
2021.8.1,27.1,25.1,28.8
2021.8.2,26.5,25,28.6
2021.8.3,28,24.1,31.4
2021.8.4,28.9,26.3,33.2
2021.8.5,29.4,25.6,33.7
2021.8.6,28.1,26,32.2
2021.8.7,28,23.4,32.3
2021.8.8,26.8,24.4,32.1
2021.8.9,28.3,23.3,33.6
2021.8.10,27.7,24.3,32.2
2021.8.11,27.4,24.1,31.6
2021.8.12,26.8,24,31.7
2021.8.13,26.6,23.4,30.1
2021.8.14,26.1,23.4,30.5
2021.8.15,26.9,21.7,32.4
2021.8.16,27.3,22.5,32.8
2021.8.17,25.9,21.9,31.3
2021.8.18,24.3,20.6,31
2021.8.19,26,21,31.5
2021.8.20,26.6,22.6,30.7
2021.8.21,23.8,21,25.5
2021.8.22,24.4,22.4,27
2021.8.23,22.4,21,24
2021.8.24,23.4,21.1,26.4
2021.8.25,25,23.5,27.3
2021.8.26,25.5,22.9,27.9
2021.8.27,22.4,20.4,25.5
2021.8.28,23.6,19.7,28.2
2021.8.29,23.7,21.9,26.3
2021.8.30,24.2,21.2,27.7
2021.8.31,20.5,18.1,23.1
2021.9.1,21.4,18.5,23.9
2021.9.2,23.5,20.7,26.7
2021.9.3,24.3,20.6,29.2
2021.9.4,23.2,18.5,28.6
2021.9.5,23.1,19.4,27.3
2021.9.6,22.3,18,26.4
2021.9.7,19.6,17.6,20.9
2021.9.8,22.2,19,26.9
2021.9.9,23.5,19.1,29.1
2021.9.10,23.6,19.5,28.9
2021.9.11,24,19.9,29.4
2021.9.12,24.2,19.2,29.8
2021.9.13,24.8,20.8,30.3
2021.9.14,24.6,20,29.5
2021.9.15,23.6,19.5,28.9
2021.9.16,22.9,18,27.3
2021.9.17,23.5,20.5,28.2
2021.9.18,23.9,18.9,29.8
2021.9.19,23.7,20.8,27.8
2021.9.20,23.7,19,28.4
2021.9.21,22,17.4,26.2
2021.9.22,20.2,16.8,24.3
2021.9.23,20.9,16.9,25.9
2021.9.24,21.8,16.7,26.9
2021.9.25,21.2,18.7,23.1
2021.9.26,22.6,18.4,27.3
2021.9.27,21.6,18.7,25
2021.9.28,21.5,19.6,24.4
2021.9.29,20.2,17.8,21.4
2021.9.30,20.3,16,25.9
2021.10.1,21.1,16.9,27.5
2021.10.2,20.7,16.4,26.6
2021.10.3,22.3,17.1,28.8
2021.10.4,22.9,19.2,25.6
2021.10.5,23.6,21.7,26.5
2021.10.6,18.8,17.9,21.7
2021.10.7,19.4,17.9,21.9
